,q_id,target,context_text,response_text,all_score
0,dd13015_3_dd13015_5,1.0,"['Well, where shall I pay the duty for the whisky?', ""Please wait a moment. I'll make out the duty memo. Here you are. Take this and pay the people over there.""]",I've paid the duty. Here is the receipt,"[5.0, 5.0, 5.0, 4.0]"
1,dd13015_3_dd11426_5,0.0,"['Well, where shall I pay the duty for the whisky?', ""Please wait a moment. I'll make out the duty memo. Here you are. Take this and pay the people over there.""]",How is that?,"[3.0, 2.0, 4.0, 3.0, 2.0, 2.0]"
2,dd13015_3_dd12702_1,0.0,"['Well, where shall I pay the duty for the whisky?', ""Please wait a moment. I'll make out the duty memo. Here you are. Take this and pay the people over there.""]",OK. Here is my application form and all the documents.,"[1.0, 1.0, 3.0, 2.0, 3.0]"
3,dd13015_3_dd12312_1,0.0,"['Well, where shall I pay the duty for the whisky?', ""Please wait a moment. I'll make out the duty memo. Here you are. Take this and pay the people over there.""]",Why do you need to leave early?,"[2.0, 2.0, 1.0]"
4,dd13015_3_dd11882_10,0.0,"['Well, where shall I pay the duty for the whisky?', ""Please wait a moment. I'll make out the duty memo. Here you are. Take this and pay the people over there.""]",good for you. I know many people just leave their blogs alone after the first few months.,"[1.0, 1.0, 2.0, 1.0]"
5,dd13015_3_dd12058_0,0.0,"['Well, where shall I pay the duty for the whisky?', ""Please wait a moment. I'll make out the duty memo. Here you are. Take this and pay the people over there.""]","Hey Rachael, what's up? How is your day?","[1.0, 2.0, 1.0, 4.0]"
6,dd13015_3_dd11759_0,0.0,"['Well, where shall I pay the duty for the whisky?', ""Please wait a moment. I'll make out the duty memo. Here you are. Take this and pay the people over there.""]",I'm pretty sure that Jim will turn out to be a good lawyer.,"[1.0, 1.0, 1.0, 1.0, 2.0]"
7,dd13015_3_dd11591_5,0.0,"['Well, where shall I pay the duty for the whisky?', ""Please wait a moment. I'll make out the duty memo. Here you are. Take this and pay the people over there.""]","Oh, he wanted to know what time I got up this morning and if I bad a bath or a shower you know, things like that.","[1.0, 1.0, 2.0, 1.0, 4.0]"
8,dd13015_3_dd11534_8,0.0,"['Well, where shall I pay the duty for the whisky?', ""Please wait a moment. I'll make out the duty memo. Here you are. Take this and pay the people over there.""]","I am afraid the sales are over now, madam. And you know we all sold out of the saucepans.","[1.0, 1.0, 2.0, 1.0]"
9,dd13015_3_dd13102_4,0.0,"['Well, where shall I pay the duty for the whisky?', ""Please wait a moment. I'll make out the duty memo. Here you are. Take this and pay the people over there.""]",we can buy a three-liter bottle. It works out cheaper per liter. We should buy a packet of butter and a few pints of milk too.,"[4.0, 3.0, 1.0, 3.0, 1.0]"
10,dd11869_3_dd11869_5,1.0,"[""Sounds great, I'd very much like to accept your invitation, thanks, when?"", 'Around six pm.']",Do you need help setting up or anything? I don't mind. I like to do that kind of thing. It's fun and I have a good eye for decorating.,"[5.0, 5.0, 5.0, 5.0, 5.0]"
11,dd11869_3_dd12473_3,0.0,"[""Sounds great, I'd very much like to accept your invitation, thanks, when?"", 'Around six pm.']","Oh, I hope it be fixed on Friday.","[2.0, 1.0, 3.0, 1.0, 1.0]"
