,q_id,target,context_text,response_text,all_score
0,sw2278_5_sw2278_6,1.0,['made it yeah made it all the way through four years of college playing ball but'],well that's pretty good,"[4.0, 5.0, 5.0, 5.0, 4.0]"
1,sw2278_5_sw3777_5,0.0,['made it yeah made it all the way through four years of college playing ball but'],and i also like The Cosby Show,"[1.0, 1.0, 1.0, 2.0, 3.0]"
2,sw2278_5_sw4013_36,0.0,['made it yeah made it all the way through four years of college playing ball but'],dear,"[1.0, 1.0, 2.0]"
3,sw2278_5_sw2610_31,0.0,['made it yeah made it all the way through four years of college playing ball but'],that's strange,"[2.0, 2.0, 1.0, 4.0, 3.0]"
4,sw2278_5_sw2317_164,0.0,['made it yeah made it all the way through four years of college playing ball but'],well yeah that's the same kind of thing like belly dancing you know you don't really realize that you're working as hard as you are,"[2.0, 3.0, 2.0, 2.0]"
5,sw2278_5_sw2468_50,0.0,['made it yeah made it all the way through four years of college playing ball but'],you can make a big difference in those and it's more more to home a lot of the time,"[2.0, 2.0, 3.0, 2.0]"
6,sw2278_5_sw2610_50,0.0,['made it yeah made it all the way through four years of college playing ball but'],what will a shot be will a shot be an ounce,"[2.0, 1.0, 1.0, 1.0]"
7,sw2278_5_sw3504_21,0.0,['made it yeah made it all the way through four years of college playing ball but'],a at a men's clothing store or something or sporting goods store but i realize the difference but i just don't understand,"[2.0, 1.0, 1.0, 2.0]"
8,sw2278_5_sw3853_14,0.0,['made it yeah made it all the way through four years of college playing ball but'],you know that almost seems dangerous because what if you picked up the phone to call nine one one or something and you,"[1.0, 1.0, 1.0, 2.0]"
9,sw2278_5_sw3390_8,0.0,['made it yeah made it all the way through four years of college playing ball but'],you think that that has as much to do with the rising crime rate as uh the uh beginning of the of the gangs and things,"[1.0, 1.0, 3.0, 1.0, 3.0, 1.0]"
10,sw3959_32_sw3959_34,1.0,"['uhuh oh my', 'down in Houston for um several years seven years and then uh my son is a CPA another has a business degree']",my,"[3.0, 4.0, 4.0, 4.0, 3.0]"
11,sw3959_32_sw2958_2,0.0,"['uhuh oh my', 'down in Houston for um several years seven years and then uh my son is a CPA another has a business degree']",um yeah,"[2.0, 1.0, 2.0]"
12,sw3959_32_sw2278_43,0.0,"['uhuh oh my', 'down in Houston for um several years seven years and then uh my son is a CPA another has a business degree']",something that we're looking forward to,"[2.0, 1.0, 1.0, 2.0]"
13,sw3959_32_sw4040_18,0.0,"['uhuh oh my', 'down in Houston for um several years seven years and then uh my son is a CPA another has a business degree']",before that did he go somewhere else or,"[5.0, 5.0, 5.0, 4.0, 5.0]"
14,sw3959_32_sw3842_0,0.0,"['uhuh oh my', 'down in Houston for um several years seven years and then uh my son is a CPA another has a business degree']",uh what kind of lawn and garden work do you wind up doing,"[2.0, 1.0, 2.0]"
15,sw3959_32_sw3609_25,0.0,"['uhuh oh my', 'down in Houston for um several years seven years and then uh my son is a CPA another has a business degree']",painted on T-shirts or sweat shirts at all,"[1.0, 2.0, 1.0, 1.0]"
16,sw3959_32_sw3968_21,0.0,"['uhuh oh my', 'down in Houston for um several years seven years and then uh my son is a CPA another has a business degree']",i do know of a way to get around the computer generated calls,"[1.0, 1.0, 1.0, 1.0, 1.0]"
17,sw3959_32_sw3070_18,0.0,"['uhuh oh my', 'down in Houston for um several years seven years and then uh my son is a CPA another has a business degree']",we try to stay away from those things which might have uh salmonella in them,"[1.0, 1.0, 1.0, 1.0]"
18,sw3959_32_sw2587_13,0.0,"['uhuh oh my', 'down in Houston for um several years seven years and then uh my son is a CPA another has a business degree']",that uh lots lots of new uh newsmen were created during that so it will be interesting to see what happens,"[1.0, 2.0, 4.0]"
19,sw3959_32_sw4154_8,0.0,"['uhuh oh my', 'down in Houston for um several years seven years and then uh my son is a CPA another has a business degree']",you know with um the US funding Israel and you had the um Soviet Union funding the Arab countries,"[3.0, 1.0]"
20,sw2240_35_sw2240_38,1.0,"['actually the uh bedrooms upstairs too but', ""that's"", ""rest of it and i i just don't like papering i painting is is a lot easier""]",well we really have uh our our bedrooms i guess are the ones that have uh that have to be painted uh we've got paper on uh our dining room and kitchen and bathrooms and then we've got paneling in our family room and game room,"[5.0, 4.0, 5.0, 5.0]"
21,sw2240_35_sw3972_4,0.0,"['actually the uh bedrooms upstairs too but', ""that's"", ""rest of it and i i just don't like papering i painting is is a lot easier""]",oh wow,"[3.0, 3.0, 3.0, 5.0, 3.0]"
22,sw2240_35_sw2549_78,0.0,"['actually the uh bedrooms upstairs too but', ""that's"", ""rest of it and i i just don't like papering i painting is is a lot easier""]",but it's close to Philadelphia and Baltimore,"[2.0, 2.0, 1.0, 2.0]"
23,sw2240_35_sw2866_25,0.0,"['actually the uh bedrooms upstairs too but', ""that's"", ""rest of it and i i just don't like papering i painting is is a lot easier""]",in Baltimore itself,"[2.0, 2.0, 1.0, 1.0, 1.0]"
24,sw2240_35_sw4886_5,0.0,"['actually the uh bedrooms upstairs too but', ""that's"", ""rest of it and i i just don't like papering i painting is is a lot easier""]",oh we did it all except for the sheetrocking,"[4.0, 4.0, 5.0, 3.0, 5.0, 4.0, 4.0]"
25,sw2240_35_sw3878_42,0.0,"['actually the uh bedrooms upstairs too but', ""that's"", ""rest of it and i i just don't like papering i painting is is a lot easier""]",the weather man said it's suppose to start raining again for us tomorrow,"[2.0, 2.0, 5.0, 2.0]"
26,sw2240_35_sw3451_14,0.0,"['actually the uh bedrooms upstairs too but', ""that's"", ""rest of it and i i just don't like papering i painting is is a lot easier""]",know that in raising my children uh i was fortunate i didn't have to work we didn't necessarily have a lot of things,"[1.0, 3.0]"
27,sw2240_35_sw4122_3,0.0,"['actually the uh bedrooms upstairs too but', ""that's"", ""rest of it and i i just don't like papering i painting is is a lot easier""]",i have uh all of them and they're it's pretty cheap per month and they i get to pick my own doctor and they have really good benefits,"[2.0, 1.0, 1.0, 1.0, 3.0]"
28,sw2240_35_sw4346_7,0.0,"['actually the uh bedrooms upstairs too but', ""that's"", ""rest of it and i i just don't like papering i painting is is a lot easier""]",well yeah it it's it's pretty much what i was going to say is there's a lot of disparity between different neighborhoods and what sort of schools go in,"[1.0, 1.0, 1.0]"
29,sw2240_35_sw3057_52,0.0,"['actually the uh bedrooms upstairs too but', ""that's"", ""rest of it and i i just don't like papering i painting is is a lot easier""]",right you would look into it thoroughly and do the best job you could in choosing choosing one,"[4.0, 4.0, 5.0, 2.0, 3.0]"
30,sw4040_11_sw4040_13,1.0,"['charge about forty five dollars a week', ""that seems relatively low by commercial standards isn't it usually about sixty to a hundred a week""]",um yeah it's it's pretty pretty expensive on the outside,"[4.0, 5.0, 4.0, 4.0, 5.0]"
31,sw4040_11_sw3070_9,0.0,"['charge about forty five dollars a week', ""that seems relatively low by commercial standards isn't it usually about sixty to a hundred a week""]",that's good,"[3.0, 3.0, 2.0, 1.0, 2.0]"
32,sw4040_11_sw4242_13,0.0,"['charge about forty five dollars a week', ""that seems relatively low by commercial standards isn't it usually about sixty to a hundred a week""]",do you mean the criminal records are a mess,"[1.0, 1.0, 2.0, 1.0]"
33,sw4040_11_sw3842_10,0.0,"['charge about forty five dollars a week', ""that seems relatively low by commercial standards isn't it usually about sixty to a hundred a week""]",situation there,"[2.0, 2.0, 1.0, 3.0, 1.0]"
34,sw4040_11_sw2303_53,0.0,"['charge about forty five dollars a week', ""that seems relatively low by commercial standards isn't it usually about sixty to a hundred a week""]",oh i've heard of it but not necessarily i've heard it's very controversial though,"[3.0, 4.0, 1.0, 3.0, 3.0]"
35,sw4040_11_sw2669_15,0.0,"['charge about forty five dollars a week', ""that seems relatively low by commercial standards isn't it usually about sixty to a hundred a week""]",you know people if they have to are going to learn to think that way,"[3.0, 1.0, 3.0]"
36,sw4040_11_sw3468_23,0.0,"['charge about forty five dollars a week', ""that seems relatively low by commercial standards isn't it usually about sixty to a hundred a week""]",well hers didn't it was just a smooth ceiling but,"[2.0, 1.0, 1.0]"
37,sw4040_11_sw3777_26,0.0,"['charge about forty five dollars a week', ""that seems relatively low by commercial standards isn't it usually about sixty to a hundred a week""]",i i guess that's what first drew us to him the uh the the relationship between he and his wife kind of looks a lot like ours,"[2.0, 3.0, 1.0, 1.0]"
38,sw4040_11_sw2317_15,0.0,"['charge about forty five dollars a week', ""that seems relatively low by commercial standards isn't it usually about sixty to a hundred a week""]",that's like a hobby because i don't ever make anybody nothing but me or maybe little kids i've i've done weddings but,"[3.0, 3.0, 4.0, 5.0, 5.0]"
39,sw4040_11_sw3619_22,0.0,"['charge about forty five dollars a week', ""that seems relatively low by commercial standards isn't it usually about sixty to a hundred a week""]",don't know what you define as uh you know uh for being in an unsafe a less safe area there no telling uh,"[3.0, 2.0, 1.0, 2.0, 1.0, 4.0]"
40,sw2566_8_sw2566_9,1.0,['when she was born and then i had her at a private sitter for i guess two two and a half years after that'],and how did you choose that sitter,"[4.0, 5.0, 5.0, 5.0, 5.0]"
41,sw2566_8_sw2657_6,0.0,['when she was born and then i had her at a private sitter for i guess two two and a half years after that'],i personally know nothing about the Peace Corps though,"[2.0, 1.0, 2.0]"
42,sw2566_8_sw3913_1,0.0,['when she was born and then i had her at a private sitter for i guess two two and a half years after that'],no there's really not very many,"[4.0, 1.0, 3.0]"
